State,Year,CoCs,Population,CoCs_per_hundredthousands
GA,2022,9,10913150,0.0824693145425473
HI,2022,2,1439399,0.13894687991307483
IA,2022,3,3199693,0.09375899500358316
ID,2022,2,1938996,0.10314616430358804
IL,2022,19,12582515,0.15100319769139953
IN,2022,2,6832274,0.029272830685654585
KS,2022,5,2936716,0.1702582067860835
KY,2022,3,4511563,0.06649580200919282
LA,2022,7,4588023,0.1525711619144019
MA,2022,12,6982740,0.17185231012467886
MD,2022,11,6163981,0.17845609842080953
ME,2022,1,1389338,0.07197672560600804
MI,2022,20,10033281,0.199336587901804
MN,2022,10,5714300,0.17499956250109375
MO,2022,8,6177168,0.1295091860865691
MS,2022,3,2938928,0.1020780366174333
MT,2022,1,1122878,0.08905686993600373
NC,2022,12,10695965,0.11219184056791509
ND,2022,1,778912,0.12838420771537734
NE,2022,3,1968060,0.1524343770007012
NH,2022,3,1399003,0.21443842507843086
NJ,2022,16,9260817,0.1727709337091965
NM,2022,2,2113476,0.09463083564705727
NV,2022,3,3177421,0.09441619476927987
NY,2022,24,19673200,0.12199337169347133
OH,2022,9,11759697,0.07653258413035642
OK,2022,8,4019271,0.19904106988555884
OR,2022,8,4239379,0.18870688372046943
PA,2022,16,12972091,0.1233417187714764
RI,2022,1,1093842,0.09142088162641406
SC,2022,4,5282955,0.0757152010569842
SD,2022,1,909869,0.10990593151321784
TN,2022,10,7048976,0.14186457720951243
TX,2022,11,30029848,0.0366302220377539
UT,2022,3,3381236,0.08872495146745155
VA,2022,16,8679099,0.18435093320170676
VT,2022,2,647110,0.309066464743243
WA,2022,6,7784477,0.07707646897794161
