governor,state,time_in_office,party,year
Kathleen Sebelius,Kansas,2003 - 2009,Democrat,2005
Jim Douglas,Vermont,2003 - 2011,Republican,2005
John E. Baldacci,Maine,2003 - 2011,Democrat,2005
Mike Rounds,South Dakota,2003 - 2011,Republican,2005
Don Carcieri,Rhode Island,2003 - 2011,Republican,2005
Janet Napolitano,Arizona,2003 - 2009,Democrat,2005
Dave Freudenthal,Wyoming,2003 - 2011,Democrat,2005
Jim Doyle,Wisconsin,2003 - 2011,Democrat,2005
Tim Pawlenty,Minnesota,2003 - 2011,Republican,2005
Felix P. Camacho,Guam,2003 - 2011,Republican,2005
Bill Richardson,New Mexico,2003 - 2011,Democrat,2005
Jennifer M. Granholm,Michigan,2003 - 2011,Democrat,2005
Mitt Romney,Massachusetts,2003 - 2007,Republican,2005
Linda Lingle,Hawaii,2002 - 2010,Republican,2005
Frank H. Murkowski,Alaska,2002 - 2006,Republican,2005
Juan N. Babauta,Northern Mariana Islands,2002 - 2006,Republican,2005
Mark R. Warner,Virginia,2002 - 2006,Democrat,2005
Bob Wise,West Virginia,2001 - 2005,Democrat,2005
Robert L. Holden,Missouri,2001 - 2005,Democrat,2005
Ruth Ann Minner,Delaware,2001 - 2009,Democrat,2005
Sila M. Calderon,Puerto Rico,2001 - 2005,Popular Democratic Party,2005
Michael F. Easley,North Carolina,2001 - 2009,Democrat,2005
Judy Martz,Montana,2001 - 2005,Republican,2005
Rick Perry,Texas,2000 - 2015,Republican,2005
John Hoeven,North Dakota,2000 - 2010,Republican,2005
Thomas J. Vilsack,Iowa,1999 - 2007,Democrat,2005
Bill Owens,Colorado,1999 - 2007,Republican,2005
Dirk Kempthorne,Idaho,1999 - 2006,Republican,2005
Mike Johanns,Nebraska,1999 - 2005,Republican,2005
Jeb Bush,Florida,1999 - 2007,Republican,2005
Kenny Guinn,Nevada,1999 - 2007,Republican,2005
Charles W. Turnbull,Virgin Islands,1999 - 2007,Democrat,2005
Bob Taft,Ohio,1999 - 2007,Republican,2005
Gary Locke,Washington,1997 - 2005,Democrat,2005
